,title,film_oscar_nominee
0,Pain and Glory,1
1,Once upon a Time...in Hollywood,1
2,Marriage Story,1
3,Joker,1
4,The Two Popes,1
5,A Beautiful Day in the Neighborhood,1
6,The Irishman,1
7,Harriet,1
8,Little Women,1
9,Bombshell,1
10,Judy,1
11,Richard Jewell,1
12,Jojo Rabbit,1
13,How to Train Your Dragon: The Hidden World,1
14,I Lost My Body,1
15,Klaus,1
16,Missing Link,1
17,Toy Story 4,1
18,The Lighthouse,1
19,1917,1
20,Parasite,1
21,American Factory,1
22,The Cave,1
23,The Edge of Democracy,1
24,For Sama,1
25,Honeyland,1
26,In the Absence,1
27,Learning to Skateboard in a Warzone (If You're a Girl),1
28,Life Overtakes Me,1
29,St. Louis Superman,1
30,Walk Run Cha-Cha,1
31,Ford v Ferrari,1
32,Corpus Christi,1
33,Les Misérables,1
34,Maleficent: Mistress of Evil,1
35,Star Wars: The Rise of Skywalker,1
36,Rocketman,1
37,Breakthrough,1
38,Frozen II,1
39,Dcera (Daughter),1
40,Hair Love,1
41,Kitbull,1
42,Memorable,1
43,Sister,1
44,Brotherhood,1
45,Nefta Football Club,1
46,The Neighbors' Window,1
47,Saria,1
48,A Sister,1
49,Ad Astra,1
50,Avengers: Endgame,1
51,The Lion King,1
52,Knives Out,1
53,Sound of Metal,1
54,Ma Rainey's Black Bottom,1
55,The Father,1
56,Mank,1
57,Minari,1
58,The Trial of the Chicago 7,1
59,Judas and the Black Messiah,1
60,One Night in Miami...,1
61,The United States vs. Billie Holiday,1
62,Pieces of a Woman,1
63,Nomadland,1
64,Promising Young Woman,1
65,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,1
66,Hillbilly Elegy,1
67,Onward,1
68,Over the Moon,1
69,A Shaun the Sheep Movie: Farmageddon,1
70,Soul,1
71,Wolfwalkers,1
72,News of the World,1
73,Emma,1
74,Mulan,1
75,Pinocchio,1
76,Another Round,1
77,Collective,1
78,Crip Camp,1
79,The Mole Agent,1
80,My Octopus Teacher,1
81,Time,1
82,Colette,1
83,A Concerto Is a Conversation,1
84,Do Not Split,1
85,Hunger Ward,1
86,A Love Song for Latasha,1
87,Better Days,1
88,The Man Who Sold His Skin,1
89,"Quo Vadis, Aida?",1
90,Da 5 Bloods,1
91,Eurovision Song Contest: The Story of Fire Saga,1
92,The Life Ahead (La Vita Davanti a Se),1
93,Tenet,1
94,Burrow,1
95,Genius Loci,1
96,If Anything Happens I Love You,1
97,Opera,1
98,Yes-People,1
99,Feeling Through,1
100,The Letter Room,1
101,The Present,1
102,Two Distant Strangers,1
103,White Eye,1
104,Greyhound,1
105,Love and Monsters,1
106,The Midnight Sky,1
107,The One and Only Ivan,1
108,The White Tiger,1
109,Being the Ricardos,1
110,The Power of the Dog,1
111,"tick, tick...BOOM!",1
112,King Richard,1
113,The Tragedy of Macbeth,1
114,Belfast,1
115,CODA,1
116,The Eyes of Tammy Faye,1
117,The Lost Daughter,1
118,Parallel Mothers,1
119,Spencer,1
120,West Side Story,1
121,Encanto,1
122,Flee,1
123,Luca,1
124,The Mitchells vs. the Machines,1
125,Raya and the Last Dragon,1
126,Dune,1
127,Nightmare Alley,1
128,Cruella,1
129,Cyrano,1
130,Drive My Car,1
131,Licorice Pizza,1
132,Ascension,1
133,Attica,1
134,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",1
135,Writing with Fire,1
136,Audible,1
137,Lead Me Home,1
138,The Queen of Basketball,1
139,Three Songs for Benazir,1
140,When We Were Bullies,1
141,Don't Look Up,1
142,The Hand of God,1
143,Lunana: A Yak in the Classroom,1
144,The Worst Person in the World,1
145,Coming 2 America,1
146,House of Gucci,1
147,No Time to Die,1
148,Four Good Days,1
149,Affairs of the Art,1
150,Bestia,1
151,Boxballet,1
152,Robin Robin,1
153,The Windshield Wiper,1
154,Ala Kachuu - Take and Run,1
155,The Dress,1
156,The Long Goodbye,1
157,On My Mind,1
158,Please Hold,1
159,Free Guy,1
160,Shang-Chi and the Legend of the Ten Rings,1
161,Spider-Man: No Way Home,1
162,Elvis,1
163,The Banshees of Inisherin,1
164,The Whale,1
165,Aftersun,1
166,Living,1
167,Causeway,1
168,The Fabelmans,1
169,Everything Everywhere All at Once,1
170,Tár,1
171,Blonde,1
172,To Leslie,1
173,Black Panther: Wakanda Forever,1
174,Guillermo del Toro's Pinocchio,1
175,Marcel the Shell with Shoes On,1
176,Puss in Boots: The Last Wish,1
177,The Sea Beast,1
178,Turning Red,1
179,All Quiet on the Western Front,1
180,"Bardo, False Chronicle of a Handful of Truths",1
181,Empire of Light,1
182,Babylon,1
183,Mrs. Harris Goes to Paris,1
184,Triangle of Sadness,1
185,All That Breathes,1
186,All the Beauty and the Bloodshed,1
187,Fire of Love,1
188,A House Made of Splinters,1
189,Navalny,1
190,The Elephant Whisperers,1
191,Haulout,1
192,How Do You Measure a Year?,1
193,The Martha Mitchell Effect,1
194,Stranger at the Gate,1
195,Top Gun: Maverick,1
196,"Argentina, 1985",1
197,Close,1
198,EO,1
199,The Quiet Girl,1
200,The Batman,1
201,Tell It like a Woman,1
202,RRR,1
203,Avatar: The Way of Water,1
204,Women Talking,1
205,"The Boy, the Mole, the Fox and the Horse",1
206,The Flying Sailor,1
207,Ice Merchants,1
208,My Year of Dicks,1
209,An Ostrich Told Me the World Is Fake and I Think I Believe It,1
210,An Irish Goodbye,1
211,Ivalu,1
212,Le Pupille,1
213,Night Ride,1
214,The Red Suitcase,1
215,Glass Onion: A Knives Out Mystery,1
216,Welcome to Chechnya,1
